Modèle,Kilométrage,Année,Boîte,Carburant,Puissance fiscale,Prix
KIA Picanto Smart,1 000 km,2025,Manuelle,Essence,4 cv,56 500 DT
Audi Q5,194 000 km,2009,Automatique,Essence,13 cv,45 000 DT
Ford Ecosport Titanium,35 000 km,2022,Manuelle,Essence,7 cv,67 000 DT
KIA Picanto,6 000 km,2024,Automatique,Essence,4 cv,57 900 DT
Peugeot Partner,133 000 km,2020,Manuelle,Diesel,5 cv,42 000 DT
Citroën C3 C-Séries Édition Special,15 000 km,2022,Manuelle,Essence,4 cv,48 900 DT
KIA Cee'd,111 000 km,2018,Manuelle,Essence,6 cv,53 900 DT
Mercedes-Benz Classe E,65 000 km,2010,Automatique,Essence,11 cv,92 500 DT
KIA Picanto,79 000 km,2017,Manuelle,Essence,5 cv,43 500 DT
Seat Leon,185 000 km,2018,Manuelle,Essence,6 cv,57 000 DT
Toyota Corolla,418 000 km,2005,Manuelle,Essence,6 cv,21 000 DT
Nissan Juke,51 000 km,2022,Automatique,Essence,6 cv,82 000 DT
KIA Sportage,405 000 km,2013,Automatique,Diesel,11 cv,53 500 DT
Dacia Duster,136 000 km,2014,Manuelle,Essence,7 cv,36 000 DT
Mahindra KUV 100 K6+,15 000 km,2023,Manuelle,Essence,5 cv,35 500 DT
Hyundai Accent,184 000 km,2012,Manuelle,Essence,7 cv,34 500 DT
Renault Megane,68 000 km,2020,Manuelle,Essence,7 cv,53 000 DT
Mercedes-Benz GLA,57 000 km,2023,Automatique,Essence,7 cv,159 000 DT
Volkswagen Polo,160 000 km,2020,Manuelle,Essence,4 cv,42 900 DT
Chery Tiggo 2,68 000 km,2021,Manuelle,Essence,6 cv,42 000 DT
BMW Série 3 Confort Luxury Line,289 000 km,2015,Automatique,Essence,7 cv,63 500 DT
KIA Picanto Smart,11 000 km,2023,Manuelle,Essence,5 cv,49 000 DT
Land Rover Range Rover Sport,164 000 km,2016,Automatique,Diesel,16 cv,160 000 DT
Opel Corsa,55 000 km,2022,Manuelle,Essence,5 cv,53 000 DT
BMW X6,469 000 km,2009,Automatique,Diesel,15 cv,79 900 DT
Suzuki Celerio Populaire,41 000 km,2023,Manuelle,Essence,4 cv,39 000 DT
KIA Rio 5p Smart,60 000 km,2022,Manuelle,Essence,5 cv,58 000 DT
Skoda Octavia Ambition,135 000 km,2015,Automatique,Essence,7 cv,41 500 DT
Mercedes-Benz Classe C,41 000 km,2023,Automatique,Hybride,9 cv,209 000 DT
Ford Ecosport Titanium,48 000 km,2022,Manuelle,Essence,7 cv,64 900 DT
BMW Série 2 Active Tourer,139 000 km,2016,Manuelle,Diesel,6 cv,77 500 DT
Peugeot 508,258 000 km,2011,Automatique,Diesel,6 cv,34 500 DT
Haval H6 Luxury,113 000 km,2020,Automatique,Essence,9 cv,75 000 DT
MG HS Luxury,110 000 km,2021,Automatique,Essence,10 cv,79 000 DT
KIA Rio Berline EX,174 000 km,2014,Manuelle,Essence,5 cv,28 500 DT
BYD Song,45 000 km,2022,Automatique,Essence,9 cv,84 000 DT
Hyundai Grand i10,83 000 km,2021,Manuelle,Essence,5 cv,42 000 DT
Mazda CX-3,82 000 km,2018,Automatique,Essence,9 cv,85 000 DT
Hyundai Tucson Hybride,109 000 km,2021,Automatique,Hybride,7 cv,109 000 DT
Peugeot 508 Allure,201 000 km,2014,Automatique,Essence,7 cv,35 900 DT
Volkswagen Golf 6,215 000 km,2011,Manuelle,Essence,5 cv,39 500 DT
Peugeot Partner,114 000 km,2021,Manuelle,Diesel,5 cv,48 000 DT
Mazda CX-7,190 000 km,2012,Automatique,Essence,15 cv,34 000 DT
KIA Rio 5p GT-Line,112 000 km,2021,Manuelle,Essence,5 cv,60 000 DT
Fiat 500,127 000 km,2015,Manuelle,Essence,4 cv,34 000 DT
KIA Sportage,169 000 km,2016,Automatique,Essence,8 cv,65 500 DT
BMW Série 3 Pack Sport,200 000 km,2014,Automatique,Essence,10 cv,61 000 DT
KIA Niro Hybride,120 000 km,2021,Automatique,Hybride,5 cv,79 000 DT
Mercedes-Benz Classe E coupé,272 000 km,2010,Automatique,Diesel,14 cv,65 000 DT
Mercedes-Benz Classe E,173 000 km,2012,Automatique,Diesel,8 cv,68 000 DT
Alfa Romeo Mito,210 000 km,2010,Manuelle,Essence,5 cv,27 000 DT
BMW Série 3 coupé,259 000 km,2009,Manuelle,Essence,7 cv,42 000 DT
Seat Ibiza Xcellence,107 000 km,2021,Manuelle,Essence,4 cv,59 000 DT
Toyota Yaris,105 000 km,2021,Manuelle,Essence,4 cv,47 500 DT
Fiat 500,57 000 km,2019,Manuelle,Essence,4 cv,45 500 DT
Audi A5 Sportback S-Line Selection,37 000 km,2023,Automatique,Essence,8 cv,190 000 DT
Seat Leon Style Plus,113 000 km,2019,Manuelle,Essence,6 cv,59 000 DT
Geely GX3,75 000 km,2021,Automatique,Essence,6 cv,51 000 DT
Mitsubishi Attrage GLS,197 000 km,2018,Automatique,Essence,4 cv,32 000 DT
BMW Série 1,130 000 km,2015,Manuelle,Essence,7 cv,57 900 DT
BMW Série 3,193 000 km,2010,Manuelle,Essence,7 cv,42 000 DT
KIA Sportage,112 000 km,2020,Automatique,Essence,8 cv,85 000 DT
KIA XCeed SX,11 000 km,2022,Automatique,Essence,9 cv,105 000 DT
KIA Sportage,298 000 km,2010,Automatique,Diesel,11 cv,49 500 DT
Porsche Cayenne,84 000 km,2006,Automatique,Essence,19 cv,49 000 DT
Toyota Corolla Dynamic,35 000 km,2022,Automatique,Essence,6 cv,79 900 DT
Ford Ranger Raptor,80 000 km,2022,Automatique,Diesel,7 cv,195 000 DT
Seat Leon,285 000 km,2011,Manuelle,Essence,7 cv,32 000 DT
Chery Tiggo 8 Pro,40 000 km,2022,Automatique,Essence,11 cv,98 000 DT
Hyundai Tucson,120 000 km,2020,Automatique,Hybride,7 cv,100 000 DT
Volkswagen Passat Highline,116 000 km,2015,Automatique,Essence,8 cv,70 000 DT
Dacia Dokker Van,97 000 km,2021,Manuelle,Diesel,6 cv,38 000 DT
KIA Picanto Smart,1 000 km,2025,Manuelle,Essence,5 cv,56 500 DT
Opel Combo Cargo,72 000 km,2021,Manuelle,Diesel,5 cv,45 000 DT
Peugeot 3008,161 000 km,2020,Automatique,Essence,7 cv,67 000 DT
Ssangyong Tivoli,150 000 km,2018,Automatique,Essence,8 cv,58 000 DT
Fiat Fiorino,96 000 km,2020,Manuelle,Diesel,5 cv,32 000 DT
BAIC YX Kenbo S3,110 000 km,2018,Manuelle,Essence,7 cv,38 000 DT
Volkswagen Golf 7 GTD,217 000 km,2013,Automatique,Diesel,10 cv,78 000 DT
Mercedes-Benz Classe E,217 000 km,2010,Automatique,Diesel,10 cv,64 000 DT
KIA Sportage GT-Line,83 000 km,2020,Automatique,Essence,11 cv,98 000 DT
Renault Megane,218 000 km,2006,Manuelle,Diesel,5 cv,18 900 DT
Haval H6 Luxury,126 000 km,2020,Automatique,Essence,9 cv,71 500 DT
Audi A6,323 000 km,2010,Manuelle,Diesel,7 cv,42 000 DT
Hyundai Grand i10,87 000 km,2021,Automatique,Essence,5 cv,48 500 DT
Mercedes-Benz Classe C,135 000 km,2017,Automatique,Essence,9 cv,125 000 DT
Toyota Agya,81 000 km,2021,Automatique,Essence,5 cv,39 500 DT
Volkswagen Tiguan Confortline,139 000 km,2011,Automatique,Diesel,9 cv,59 900 DT
Volkswagen Tiguan,25 000 km,2023,Automatique,Essence,8 cv,140 000 DT
Renault Megane Sedan,90 000 km,2019,Manuelle,Essence,7 cv,50 000 DT
Haval H6,62 000 km,2021,Automatique,Essence,9 cv,79 000 DT
BMW Série 3,190 000 km,2013,Automatique,Essence,7 cv,60 000 DT
Ssangyong Tivoli Classy,56 000 km,2021,Manuelle,Essence,6 cv,59 500 DT
Volkswagen Golf 8,134 000 km,2019,Manuelle,Essence,8 cv,85 000 DT
Seat Arona,88 000 km,2018,Manuelle,Essence,6 cv,58 000 DT
Hyundai Grand i10 High Grade,3 000 km,2024,Automatique,Essence,5 cv,64 000 DT
Peugeot Landtrek Simple Cabine Benne tôle pliée,86 000 km,2022,Manuelle,Diesel,6 cv,60 000 DT
Seat Arona FR,18 000 km,2022,Automatique,Essence,6 cv,92 000 DT
Citroën Berlingo,78 000 km,2020,Manuelle,Diesel,5 cv,74 000 DT
DFSK Glory 580,68 000 km,2022,Manuelle,Essence,8 cv,77 000 DT
Mercedes-Benz Classe C,190 000 km,2011,Automatique,Essence,11 cv,53 000 DT
Renault Clio,65 000 km,2022,Manuelle,Essence,5 cv,48 000 DT
Hyundai Grand i10 High Grade,62 000 km,2021,Automatique,Essence,5 cv,49 900 DT
Haval H6 Luxury,130 000 km,2021,Automatique,Essence,9 cv,85 000 DT
KIA Sorento,273 000 km,2013,Automatique,Diesel,12 cv,52 500 DT
Fiat 500,199 000 km,2012,Automatique,Essence,4 cv,27 000 DT
Citroën C4,218 000 km,2015,Manuelle,Essence,6 cv,34 000 DT
Suzuki Jimny 3 portes,75 000 km,2020,Manuelle,Essence,6 cv,79 000 DT
Seat Ibiza Style,169 000 km,2021,Manuelle,Essence,4 cv,47 500 DT
Chevrolet Sonic,163 000 km,2019,Manuelle,Essence,5 cv,36 000 DT
Mazda CX-9,70 000 km,2017,Automatique,Essence,15 cv,108 000 DT
Fiat Ducato,211 000 km,2012,Manuelle,Diesel,8 cv,45 000 DT
Mazda CX-9 Signature,155 000 km,2019,Automatique,Essence,15 cv,99 900 DT
Hyundai H-1,999 999 km,2006,Manuelle,Diesel,10 cv,18 000 DT
Porsche Panamera,11 000 km,2019,Automatique,Essence,22 cv,450 000 DT
Hyundai i20 High Grade,21 000 km,2023,Automatique,Essence,5 cv,79 000 DT
Skoda Rapid,46 000 km,2019,Manuelle,Essence,5 cv,55 000 DT
Mercedes-Benz Classe C,172 000 km,2018,Automatique,Essence,8 cv,105 000 DT
BMW Série 5,58 000 km,2022,Automatique,Hybride,10 cv,225 000 DT
KIA Picanto,111 000 km,2019,Automatique,Essence,5 cv,40 900 DT
Seat Leon SC,70 000 km,2016,Manuelle,Essence,6 cv,47 000 DT
Jeep Grand Cherokee,132 000 km,2016,Automatique,Essence,20 cv,180 000 DT
Audi Q2,78 000 km,2018,Automatique,Essence,7 cv,84 500 DT
Citroën C3,192 000 km,2011,Manuelle,Essence,5 cv,27 500 DT
Hyundai H-1,224 000 km,2002,Manuelle,Diesel,8 cv,23 000 DT
Mercedes-Benz ML,240 000 km,2009,Automatique,Diesel,15 cv,80 000 DT
KIA Sportage,143 000 km,2016,Automatique,Diesel,10 cv,100 000 DT
BMW Série 3 F30 Pack Modern,139 000 km,2012,Automatique,Essence,10 cv,59 900 DT
Seat Ibiza,1 300 km,2024,Automatique,Essence,6 cv,77 500 DT
MG 5,26 000 km,2022,Automatique,Essence,7 cv,67 000 DT
Seat Ibiza,124 000 km,2018,Manuelle,Essence,4 cv,42 500 DT
Land Rover Range Rover Sport,184 000 km,2008,Automatique,Diesel,13 cv,79 000 DT
Citroën C3,115 000 km,2011,Manuelle,Essence,5 cv,26 000 DT
MG 3,12 000 km,2024,Manuelle,Essence,6 cv,53 000 DT
Toyota Prado,330 000 km,2002,Manuelle,Diesel,11 cv,47 000 DT
Mercedes-Benz Classe A,174 000 km,2014,Manuelle,Essence,6 cv,56 000 DT
Citroën C4 Cactus,146 000 km,2019,Manuelle,Diesel,5 cv,58 000 DT
Land Rover Range Rover Sport,200 000 km,2009,Automatique,Diesel,13 cv,75 000 DT
Chery Tiggo 2 Confort,135 000 km,2020,Manuelle,Essence,6 cv,39 000 DT
Ford Ranger,70 000 km,2020,Automatique,Diesel,7 cv,140 000 DT
Volkswagen Passat,212 000 km,2007,Manuelle,Essence,7 cv,26 000 DT
BMW Série 3 coupé,232 000 km,2009,Manuelle,Essence,7 cv,39 900 DT
Volkswagen Golf Plus Sportsvan Join,72 000 km,2018,Manuelle,Essence,6 cv,79 000 DT
Land Rover Defender 110 LXV,115 000 km,2014,Manuelle,Diesel,8 cv,200 000 DT
Ford Focus Ecoboost,227 000 km,2016,Manuelle,Essence,6 cv,34 000 DT
Mercedes-Benz Classe E,252 000 km,2017,Automatique,Essence,9 cv,110 000 DT
BMW Série 7 X-Drive,200 000 km,2012,Automatique,Diesel,20 cv,155 500 DT
Mercedes-Benz ML,237 000 km,2006,Automatique,Diesel,15 cv,56 000 DT
Volkswagen Golf 7 Cup,139 000 km,2015,Automatique,Essence,7 cv,59 900 DT
Mahindra KUV 100 K8,79 000 km,2022,Manuelle,Essence,5 cv,36 000 DT
Mazda CX-7,165 000 km,2009,Automatique,Essence,18 cv,39 000 DT
Mazda CX-9,169 000 km,2019,Automatique,Essence,15 cv,89 000 DT
Mercedes-Benz Classe C,146 000 km,2017,Automatique,Essence,8 cv,119 000 DT
Skoda Octavia,174 000 km,2016,Automatique,Essence,8 cv,47 000 DT
Nissan Juke Tekna,5 000 km,2024,Automatique,Essence,6 cv,95 000 DT
Mercedes-Benz Classe E,37 000 km,2021,Automatique,Hybride,10 cv,260 000 DT
Mercedes-Benz Classe S,112 000 km,2007,Automatique,Essence,19 cv,78 000 DT
Dongfeng AX4,33 000 km,2022,Manuelle,Essence,7 cv,59 500 DT
Chevrolet Sonic LS,89 000 km,2021,Manuelle,Essence,5 cv,41 000 DT
Peugeot 3008,131 000 km,2017,Manuelle,Essence,7 cv,62 000 DT
Chery Tiggo 7 Pro,60 000 km,2021,Automatique,Essence,9 cv,75 000 DT
Citroën C4 Cactus,142 000 km,2015,Manuelle,Essence,5 cv,37 500 DT
BMW X5,283 000 km,2007,Automatique,Diesel,15 cv,67 500 DT
Citroën C4 Picasso,270 000 km,2011,Automatique,Diesel,6 cv,39 900 DT
Citroën C3,156 000 km,2020,Manuelle,Essence,4 cv,36 000 DT
Mercedes-Benz Classe E,189 000 km,2009,Automatique,Diesel,11 cv,63 900 DT
Audi Q3 Sportback,122 000 km,2021,Automatique,Essence,9 cv,152 000 DT
Volkswagen Jetta,171 000 km,2018,Manuelle,Essence,7 cv,56 900 DT
Mercedes-Benz CLA,191 000 km,2013,Automatique,Essence,8 cv,77 500 DT
Isuzu D-Max Double Cabine,244 000 km,2013,Manuelle,Diesel,8 cv,115 000 DT
Jaguar XJL,51 000 km,2014,Automatique,Essence,16 cv,150 000 DT
Porsche Cayenne,184 000 km,2008,Automatique,Essence,21 cv,85 000 DT
Nissan Patrol,417 000 km,1991,Manuelle,Diesel,17 cv,32 000 DT
Porsche Cayenne,206 000 km,2010,Automatique,Essence,21 cv,106 000 DT
Land Rover Range Rover Velar,60 000 km,2019,Automatique,Diesel,11 cv,295 000 DT
Mercedes-Benz CLA,36 000 km,2022,Automatique,Essence,7 cv,Sous leasing                    185 400 DT
BMW Série 5,197 000 km,2012,Automatique,Essence,10 cv,79 900 DT
Ford Ecosport,101 000 km,2016,Automatique,Essence,6 cv,58 000 DT
Ford Ecosport,99 000 km,2021,Automatique,Essence,7 cv,72 000 DT
Chery Tiggo 3X Luxury,72 000 km,2022,Automatique,Essence,6 cv,55 000 DT
Volkswagen Tiguan,104 000 km,2018,Automatique,Essence,8 cv,117 000 DT
BMW X5,159 000 km,2010,Automatique,Diesel,19 cv,86 000 DT
Citroën Jumpy Fourgon,123 000 km,2022,Manuelle,Diesel,7 cv,67 000 DT
Volkswagen Polo,26 000 km,2021,Manuelle,Essence,4 cv,55 000 DT
Suzuki Vitara,96 000 km,2018,Automatique,Essence,6 cv,62 000 DT
Land Rover Range Rover Evoque,130 000 km,2015,Automatique,Diesel,10 cv,139 000 DT
Opel Corsa,41 000 km,2022,Manuelle,Essence,5 cv,59 900 DT
Mercedes-Benz Classe C,157 000 km,2016,Automatique,Diesel,6 cv,99 000 DT
Mercedes-Benz Classe E,15 000 km,2022,Automatique,Essence,9 cv,248 000 DT
Volkswagen Golf 7,183 000 km,2019,Manuelle,Diesel,6 cv,69 000 DT
Nissan Patrol,481 000 km,1991,Manuelle,Diesel,11 cv,37 000 DT
BMW X5,295 000 km,2007,Automatique,Diesel,16 cv,59 000 DT
KIA Optima,379 000 km,2012,Automatique,Essence,10 cv,38 000 DT
Toyota Land Cruiser 80,506 000 km,1996,Manuelle,Diesel,17 cv,72 000 DT
Volkswagen Golf 7,75 000 km,2016,Automatique,Essence,13 cv,110 000 DT
Volkswagen Passat CC,191 000 km,2014,Automatique,Essence,10 cv,53 000 DT
Mazda 3 High Grade,107 000 km,2017,Manuelle,Essence,6 cv,54 000 DT
Ford Ecosport Titanium,97 000 km,2018,Automatique,Essence,7 cv,62 000 DT
Mercedes-Benz Classe C,113 000 km,2017,Automatique,Essence,8 cv,135 000 DT
BMW Série 3,177 000 km,2018,Automatique,Essence,7 cv,85 000 DT
Ford Focus Titanium,161 000 km,2018,Manuelle,Essence,6 cv,39 900 DT
MG ZS,75 000 km,2020,Automatique,Essence,7 cv,60 000 DT
Haval H6,11 000 km,2023,Automatique,Essence,8 cv,126 000 DT
BMW Série 5,179 000 km,2013,Automatique,Essence,10 cv,79 500 DT
BMW Série 4 Gran Coupé,99 000 km,2019,Automatique,Essence,7 cv,125 000 DT
Mercedes-Benz Classe A,101 000 km,2020,Automatique,Essence,7 cv,119 000 DT
Iveco Daily Fourgon,31 000 km,2015,Manuelle,Diesel,16 cv,110 000 DT
Mercedes-Benz Classe E,223 000 km,2017,Automatique,Essence,9 cv,119 000 DT
Toyota Hilux Double Cabine,114 000 km,2019,Manuelle,Diesel,8 cv,149 000 DT
Mercedes-Benz Classe C,112 000 km,2019,Automatique,Hybride,10 cv,145 000 DT
Volkswagen Amarok,81 000 km,2013,Manuelle,Essence,11 cv,48 000 DT
BMW Série 5,151 000 km,2016,Automatique,Essence,9 cv,120 000 DT
Porsche Cayenne,195 000 km,2012,Automatique,Diesel,15 cv,155 000 DT
KIA Rio Berline,35 000 km,2022,Automatique,Essence,6 cv,64 500 DT
Mitsubishi Pajero Sport,510 000 km,1999,Manuelle,Diesel,9 cv,45 000 DT
Chery E3,95 000 km,2018,Manuelle,Essence,6 cv,32 000 DT
BMW Série 2 Gran Coupé,61 000 km,2020,Automatique,Essence,8 cv,109 000 DT
Nissan Patrol,359 000 km,2006,Manuelle,Diesel,12 cv,59 000 DT
Audi A4,233 000 km,2011,Manuelle,Essence,7 cv,37 000 DT
Mercedes-Benz CLA,239 000 km,2017,Automatique,Essence,7 cv,92 000 DT
Mercedes-Benz Classe E,199 000 km,2010,Automatique,Essence,11 cv,55 000 DT
Citroën C4 Coupé,300 000 km,2009,Manuelle,Essence,7 cv,21 000 DT
Haval H6 Luxury,122 000 km,2019,Automatique,Essence,9 cv,66 000 DT
Land Rover Range Rover Sport,211 000 km,2007,Automatique,Essence,32 cv,88 000 DT
Fiat 500,20 000 km,2020,Manuelle,Hybride,4 cv,59 000 DT
KIA Sorento,209 000 km,2015,Automatique,Diesel,12 cv,69 000 DT
Ford Kuga Titanium,208 000 km,2017,Automatique,Essence,11 cv,65 000 DT
Land Rover Range Rover Sport,47 000 km,2019,Automatique,Hybride,17 cv,340 000 DT
Volkswagen Golf 6,295 000 km,2011,Automatique,Diesel,5 cv,41 000 DT
Citroën Jumpy Combi,124 000 km,2018,Manuelle,Diesel,6 cv,82 000 DT
KIA Sportage,324 000 km,2012,Automatique,Diesel,11 cv,54 000 DT
Volkswagen Golf 6,252 000 km,2012,Automatique,Diesel,5 cv,42 000 DT
Citroën C3,51 000 km,2019,Manuelle,Essence,4 cv,44 000 DT
Hyundai Tucson Hybride,40 000 km,2022,Automatique,Hybride,7 cv,155 000 DT
Mercedes-Benz Classe A,182 000 km,2013,Manuelle,Essence,7 cv,62 000 DT
Ford Ranger,191 000 km,2014,Automatique,Diesel,7 cv,68 000 DT
Citroën Jumpy Fourgon,170 000 km,2019,Manuelle,Diesel,7 cv,65 000 DT
Mercedes-Benz CLA,20 000 km,2018,Automatique,Essence,7 cv,115 000 DT
Land Rover Range Rover Velar R-Dynamic,26 000 km,2022,Automatique,Essence,16 cv,380 000 DT
Mercedes-Benz Classe S,151 000 km,2008,Automatique,Essence,19 cv,95 000 DT
Peugeot 3008,230 000 km,2010,Manuelle,Essence,7 cv,30 000 DT
Audi A4,241 000 km,2008,Automatique,Essence,11 cv,50 000 DT
Peugeot 3008,132 000 km,2018,Automatique,Essence,9 cv,84 900 DT
Jaguar XJL,163 000 km,2014,Automatique,Essence,16 cv,120 000 DT
BMW Série 3,152 000 km,2016,Automatique,Essence,7 cv,85 000 DT
Seat Leon Style Plus,118 000 km,2017,Manuelle,Essence,6 cv,62 000 DT
Porsche Cayenne,212 000 km,2009,Automatique,Essence,30 cv,78 000 DT
BMW Série 4 Coupé,151 000 km,2014,Automatique,Essence,10 cv,86 000 DT
Dongfeng SX3,32 000 km,2021,Manuelle,Essence,8 cv,65 000 DT
Volkswagen Jetta,349 000 km,2010,Manuelle,Diesel,6 cv,29 500 DT
Skoda Octavia,30 000 km,2022,Automatique,Essence,8 cv,114 900 DT
Haval H6 Luxury,120 000 km,2020,Automatique,Essence,9 cv,77 000 DT
Peugeot 3008 Allure,169 000 km,2020,Automatique,Essence,7 cv,80 000 DT
BMW X3,219 000 km,2014,Automatique,Essence,11 cv,75 000 DT
Haval Jolion,25 000 km,2021,Automatique,Essence,9 cv,91 500 DT
KIA Sportage,101 000 km,2018,Automatique,Essence,8 cv,85 000 DT
Land Rover Range Rover Sport,82 000 km,2019,Automatique,Essence,17 cv,350 000 DT
KIA Sorento,210 000 km,2012,Automatique,Diesel,12 cv,60 000 DT
Infiniti FX,190 000 km,2008,Automatique,Essence,20 cv,52 000 DT
Ford Transit,256 000 km,2017,Manuelle,Diesel,6 cv,38 000 DT
BMW Série 3,201 000 km,2014,Automatique,Essence,7 cv,69 000 DT
BMW Série 3,167 000 km,2016,Automatique,Essence,7 cv,80 000 DT
KIA Sportage GT-Line,132 000 km,2018,Automatique,Diesel,10 cv,110 000 DT
Nissan Qashqai,121 000 km,2015,Automatique,Essence,6 cv,69 500 DT
MG ZS Luxury,67 000 km,2022,Automatique,Essence,7 cv,77 900 DT
Hyundai Veloster,140 000 km,2016,Automatique,Essence,8 cv,44 900 DT
Mazda 6,125 000 km,2014,Automatique,Essence,9 cv,51 000 DT
Mercedes-Benz CLS,178 000 km,2009,Automatique,Essence,15 cv,55 500 DT
Haval H6 Luxury,55 000 km,2019,Automatique,Essence,9 cv,85 000 DT
Mercedes-Benz Classe C C180,143 000 km,2018,Automatique,Essence,9 cv,119 000 DT
Mazda 3 High Grade,148 000 km,2017,Manuelle,Essence,6 cv,57 000 DT
Mahindra Scorpio SUV,328 000 km,2013,Manuelle,Diesel,8 cv,29 500 DT
Mazda 3,135 000 km,2017,Manuelle,Essence,6 cv,58 500 DT
BMW Série 5 Luxury Line,30 000 km,2019,Automatique,Essence,10 cv,225 000 DT
MG GS Luxe,160 000 km,2017,Automatique,Essence,9 cv,58 000 DT
Mazda CX-3,86 000 km,2018,Automatique,Essence,9 cv,78 000 DT
Audi A5 Sportback S-Line,54 000 km,2022,Automatique,Essence,8 cv,179 000 DT
BMW Série 4 Coupé,140 000 km,2018,Automatique,Essence,14 cv,110 000 DT
Mercedes-Benz GLE Coupé AMG,65 000 km,2021,Automatique,Hybride,11 cv,390 000 DT
Mercedes-Benz CLA AMG,64 000 km,2021,Automatique,Hybride,8 cv,165 000 DT
Mercedes-Benz GLC Coupé AMG,68 000 km,2020,Automatique,Hybride,12 cv,255 000 DT
Ford Ecosport Titanium,150 000 km,2019,Automatique,Essence,7 cv,58 000 DT
Citroën C5,300 000 km,2012,Manuelle,Diesel,6 cv,41 000 DT
Mitsubishi Attrage,96 000 km,2020,Manuelle,Essence,4 cv,35 000 DT
BMW Série 3 coupé,152 000 km,2012,Manuelle,Essence,10 cv,73 000 DT
Mercedes-Benz Classe C AMG +,206 000 km,2012,Automatique,Essence,9 cv,71 500 DT
KIA Sportage Toit Ouvrant,134 000 km,2017,Automatique,Essence,8 cv,77 000 DT
Mercedes-Benz Classe A,125 000 km,2015,Automatique,Essence,6 cv,68 000 DT
BMW Série 1 Sport Line,200 000 km,2013,Automatique,Essence,7 cv,48 000 DT
Mitsubishi L200 Sportero Double Cabine,35 000 km,2022,Automatique,Diesel,8 cv,155 000 DT
Mercedes-Benz GLC Coupé AMG,56 000 km,2020,Automatique,Hybride,12 cv,260 000 DT
Mercedes-Benz Classe A Sport AMG,35 000 km,2019,Automatique,Essence,8 cv,125 000 DT
Mercedes-Benz Classe B Confort,226 000 km,2019,Automatique,Diesel,8 cv,95 000 DT
Porsche Cayenne,194 000 km,2011,Automatique,Diesel,15 cv,150 000 DT
MG 5 Confort,33 000 km,2024,Manuelle,Essence,6 cv,52 000 DT
Skoda Rapid Style,45 000 km,2019,Manuelle,Essence,6 cv,49 000 DT
Citroën Saxo,250 000 km,1999,Manuelle,Essence,4 cv,12 000 DT
Ford Ecosport Titanium,74 500 km,2018,Manuelle,Essence,6 cv,68 000 DT
KIA Picanto Populaire,90 000 km,2022,Manuelle,Essence,4 cv,38 500 DT
Volkswagen Golf 7 toit panoramique,65 000 km,2019,Manuelle,Essence,5 cv,73 000 DT
BMW Série 3 Access Plus Modern Line,200 000 km,2012,Automatique,Essence,7 cv,44 000 DT
Land Rover Range Rover Sport HSE Dynamic,130 000 km,2014,Automatique,Essence,24 cv,153 000 DT
Toyota Land Cruiser,198 000 km,2018,Manuelle,Diesel,20 cv,190 000 DT
Renault Megane Dynamique,74 000 km,2019,Manuelle,Essence,7 cv,57 000 DT
Audi A4 Design Plus,186 000 km,2018,Automatique,Essence,8 cv,74 000 DT
Volkswagen Golf 7,133 000 km,2019,Automatique,Essence,6 cv,65 000 DT
Ssangyong Korando,80 000 km,2021,Automatique,Essence,9 cv,92 500 DT
Citroën C1 TT Options,200 000 km,2011,Manuelle,Essence,5 cv,25 500 DT
Chery Tiggo 8 Pro,43 000 km,2022,Automatique,Essence,11 cv,98 000 DT
BMW Série 3 Business Line,280 000 km,2013,Automatique,Essence,10 cv,62 000 DT
Mercedes-Benz Classe E,250 000 km,2009,Automatique,Essence,11 cv,56 000 DT
Ford Fiesta Titanium,140 000 km,2019,Manuelle,Diesel,4 cv,47 000 DT
Mercedes-Benz ML,195 000 km,2011,Automatique,Essence,19 cv,70 000 DT
Peugeot 2008 Allure Blanc Nacré + Toit,112 000 km,2020,Automatique,Diesel,6 cv,89 000 DT
Nissan Qashqai,92 000 km,2017,Automatique,Essence,7 cv,64 000 DT
KIA Picanto,60 000 km,2022,Manuelle,Essence,5 cv,42 000 DT
Volkswagen Caddy,60 000 km,2022,Manuelle,Diesel,7 cv,66 500 DT
Nissan Micra,160 000 km,2015,Manuelle,Essence,5 cv,32 500 DT
Audi A3 Berline,254 000 km,2015,Manuelle,Essence,5 cv,54 000 DT
BMW Série 3 Access Plus Luxury Line,147 000 km,2013,Automatique,Essence,7 cv,59 000 DT
Mercedes-Benz Classe C,104 000 km,2013,Manuelle,Essence,9 cv,56 000 DT
Nissan Patrol,300 000 km,1989,Automatique,Diesel,21 cv,39 500 DT
Porsche Panamera,130 000 km,2011,Automatique,Essence,20 cv,145 000 DT
Jaguar XF,164 000 km,2010,Automatique,Essence,17 cv,59 000 DT
Peugeot Landtrek Simple Cabine,100 000 km,2022,Manuelle,Diesel,6 cv,83 000 DT
Iveco Daily Simple Cabine,1 900 km,2024,Manuelle,Diesel,10 cv,109 000 DT
Suzuki Swift,55 000 km,2022,Manuelle,Essence,5 cv,43 000 DT
KIA Rio 5p GT-Line,100 000 km,2021,Manuelle,Essence,5 cv,59 500 DT
Haval H6,110 000 km,2021,Automatique,Essence,9 cv,77 000 DT
KIA Carens,220 000 km,2015,Automatique,Diesel,7 cv,48 000 DT
Ford Ecosport Titanium,90 000 km,2019,Automatique,Essence,7 cv,58 500 DT
