Modèle,Kilométrage,Année,Boîte,Carburant,Puissance fiscale,Prix
KIA Picanto,95 000 km,2021,Automatique,Essence,5 cv,44 500 DT
Peugeot Partner,90 000 km,2022,Manuelle,Diesel,5 cv,54 500 DT
Suzuki Celerio Comfort,26 000 km,2023,Manuelle,Essence,4 cv,42 000 DT
Volkswagen Polo,200 000 km,2015,Manuelle,Essence,4 cv,31 800 DT
Volkswagen Caddy Confort Plus,145 000 km,2020,Manuelle,Diesel,6 cv,66 000 DT
Mercedes-Benz CLA AMG,65 000 km,2022,Automatique,Essence,8 cv,166 000 DT
Renault Clio Life Plus,112 000 km,2018,Manuelle,Essence,5 cv,39 800 DT
Peugeot 407 Exécutive,130 000 km,2007,Automatique,Essence,9 cv,26 500 DT
Renault Clio Classic Confort,98 000 km,2006,Manuelle,Essence,5 cv,31 000 DT
Volkswagen Polo Sedan Trendline,76 000 km,2022,Manuelle,Essence,5 cv,49 500 DT
Volkswagen Caddy Prestige,93 000 km,2020,Manuelle,Diesel,6 cv,51 000 DT
Peugeot 301 Active,73 000 km,2021,Manuelle,Essence,5 cv,33 000 DT
Hyundai i20 GLS,76 000 km,2022,Manuelle,Essence,5 cv,53 500 DT
Volkswagen Polo,47 000 km,2020,Manuelle,Essence,4 cv,65 000 DT
Jeep Renegade Limited,130 000 km,2019,Automatique,Essence,8 cv,66 000 DT
KIA Rio 5p GT-Line,72 000 km,2021,Manuelle,Essence,5 cv,65 000 DT
Fiat Fiorino Utilitaire,13 000 km,2023,Manuelle,Diesel,5 cv,44 500 DT
Hyundai i20 High Grade,54 000 km,2022,Manuelle,Essence,5 cv,64 000 DT
KIA Rio 5p,124 000 km,2021,Manuelle,Essence,5 cv,49 800 DT
Seat Leon Style,167 000 km,2016,Automatique,Essence,6 cv,52 500 DT
Hyundai Grand i10 High Grade,47 000 km,2023,Manuelle,Essence,5 cv,48 500 DT
Volkswagen Polo Smartline,63 000 km,2021,Manuelle,Essence,4 cv,53 000 DT
Seat Ibiza,134 000 km,2021,Manuelle,Essence,4 cv,46 000 DT
KIA Sorento,352 000 km,2015,Automatique,Diesel,12 cv,72 000 DT
Honda City LX Sport,80 000 km,2022,Automatique,Essence,6 cv,67 000 DT
Dacia Dokker Van,140 000 km,2022,Manuelle,Diesel,5 cv,38 000 DT
Volkswagen Virtus Confortline,30 000 km,2023,Manuelle,Essence,6 cv,61 000 DT
BMW X5 Confort xLine,112 000 km,2020,Automatique,Essence,14 cv,265 000 DT
BMW Série 3 Confort Luxury Line,145 000 km,2016,Automatique,Essence,7 cv,79 000 DT
KIA Sportage,96 000 km,2018,Automatique,Essence,8 cv,75 000 DT
Volkswagen Polo,67 000 km,2021,Manuelle,Essence,4 cv,52 500 DT
KIA Rio 5p,84 000 km,2021,Manuelle,Essence,5 cv,51 500 DT
KIA Cee'd Comfort,178 000 km,2019,Manuelle,Essence,6 cv,52 000 DT
Mercedes-Benz Classe A AMG,63 000 km,2020,Automatique,Essence,9 cv,144 000 DT
MG RX8 4x4 SUV,24 000 km,2023,Automatique,Essence,16 cv,135 000 DT
Geely GX3,90 000 km,2022,Manuelle,Essence,6 cv,58 000 DT
Chevrolet Sonic Comfort,87 000 km,2021,Manuelle,Essence,5 cv,41 000 DT
KIA Rio 5p,117 000 km,2021,Manuelle,Essence,5 cv,56 000 DT
Mercedes-Benz GLA AMG,57 000 km,2021,Automatique,Hybride,8 cv,179 000 DT
Seat Arona,19 000 km,2022,Automatique,Essence,6 cv,90 000 DT
Audi A3 Sportback,128 000 km,2018,Manuelle,Essence,6 cv,69 000 DT
Ford Focus,130 000 km,2016,Manuelle,Essence,6 cv,41 800 DT
Volkswagen Golf 8,69 000 km,2021,Manuelle,Essence,6 cv,87 000 DT
BMW Série 5,280 000 km,2015,Automatique,Essence,9 cv,65 000 DT
Land Rover Range Rover Velar,19 000 km,2019,Automatique,Essence,15 cv,289 000 DT
BMW Série 5 Business Line,132 000 km,2018,Automatique,Essence,10 cv,130 000 DT
Smart ForTwo Sport,101 000 km,2010,Manuelle,Essence,5 cv,27 500 DT
Porsche Cayenne E-Hybrid,40 000 km,2019,Automatique,Hybride,21 cv,420 000 DT
Mercedes-Benz Classe C,115 000 km,2020,Automatique,Diesel,8 cv,150 000 DT
Audi A3 Berline,40 000 km,2023,Automatique,Essence,8 cv,125 000 DT
Toyota Hilux Double Cabine,90 000 km,2020,Manuelle,Diesel,8 cv,150 000 DT
Mercedes-Benz Classe E,0 km,2024,Automatique,Essence,10 cv,430 000 DT
Hyundai Tucson,0 km,2024,Automatique,Hybride,7 cv,212 000 DT
Volkswagen Tiguan,0 km,2024,Automatique,Hybride,8 cv,225 000 DT
Volkswagen Passat R-Line DSG,45 000 km,2020,Automatique,Essence,8 cv,110 000 DT
Mercedes-Benz GLE Coupé,30 000 km,2022,Automatique,Hybride,8 cv,420 000 DT
Mercedes-Benz GLC Coupé,0 km,2024,Automatique,Hybride,11 cv,440 000 DT
Mercedes-Benz Classe C,9 000 km,2020,Automatique,Hybride,10 cv,185 000 DT
Mercedes-Benz Classe E,60 000 km,2012,Automatique,Essence,15 cv,110 000 DT
Mercedes-Benz ML,127 000 km,2010,Automatique,Essence,19 cv,75 000 DT
Mitsubishi Pajero,200 000 km,2016,Automatique,Essence,15 cv,107 000 DT
Mercedes-Benz CLA,16 000 km,2023,Automatique,Hybride,9 cv,220 000 DT
Jaguar XJL,50 000 km,2016,Automatique,Essence,16 cv,175 000 DT
Land Rover Range Rover Evoque,160 000 km,2016,Automatique,Diesel,8 cv,110 000 DT
Peugeot 3008,130 000 km,2017,Manuelle,Essence,7 cv,65 000 DT
Land Rover Range Rover Sport,130 000 km,2014,Automatique,Diesel,16 cv,198 000 DT
BMW Série 7,80 000 km,2018,Automatique,Essence,15 cv,275 000 DT
Volkswagen CC,120 000 km,2015,Automatique,Essence,10 cv,65 000 DT
Volkswagen Golf 8,37 000 km,2020,Manuelle,Essence,5 cv,88 000 DT
Land Rover Range Rover Sport,180 000 km,2012,Automatique,Diesel,16 cv,150 000 DT
Land Rover Range Rover Sport,100 000 km,2015,Automatique,Diesel,19 cv,230 000 DT
Land Rover Range Rover Evoque,180 000 km,2016,Automatique,Essence,15 cv,105 000 DT
Peugeot 2008,100 000 km,2017,Manuelle,Essence,6 cv,43 000 DT
Jaguar XF,139 000 km,2009,Automatique,Essence,17 cv,55 000 DT
BMW Série 7,160 000 km,2008,Automatique,Essence,31 cv,85 000 DT
BMW Série 5 Luxury Line,70 000 km,2018,Automatique,Essence,10 cv,147 000 DT
BMW Série 3,120 000 km,2019,Automatique,Essence,7 cv,90 000 DT
Volkswagen Golf 7 Access,52 227 km,2019,Manuelle,Essence,4 cv,77 000 DT
Great Wall Poer AT,104 904 km,2021,Manuelle,Essence,11 cv,85 000 DT
Audi A3 Sportback,100 000 km,2018,Manuelle,Essence,6 cv,65 500 DT
Smart ForTwo Passion,15 353 km,2021,Automatique,Electrique,4 cv,68 000 DT
Peugeot 2008,118 000 km,2018,Manuelle,Essence,5 cv,40 000 DT
Renault Megane Sedan,47 000 km,2019,Manuelle,Essence,7 cv,60 000 DT
Ford Ecosport,20 000 km,2022,Manuelle,Essence,7 cv,77 000 DT
Peugeot 4008,225 876 km,2013,Automatique,Essence,9 cv,49 000 DT
BMW Série 5,153 451 km,2015,Automatique,Diesel,7 cv,86 000 DT
BMW X1 Kit M,154 000 km,2016,Automatique,Essence,7 cv,85 000 DT
Hyundai Grand i10 High Grade,13 459 km,2022,Automatique,Essence,5 cv,54 000 DT
Ssangyong Tivoli Confort,81 751 km,2020,Manuelle,Essence,6 cv,65 000 DT
Mercedes-Benz Classe C AMG +,63 779 km,2019,Automatique,Essence,9 cv,149 000 DT
KIA Sportage SX,87 189 km,2020,Automatique,Essence,8 cv,90 000 DT
Seat Ibiza Xcellence,106 589 km,2020,Manuelle,Essence,4 cv,61 000 DT
KIA Sportage Hybride GT-Line,99 591 km,2021,Automatique,Hybride,7 cv,110 000 DT
Mercedes-Benz GLC Coupé AMG,41 765 km,2021,Automatique,Hybride,12 cv,260 000 DT
KIA Sportage Hybride GT-Line,37 400 km,2023,Automatique,Hybride,10 cv,155 000 DT
Hyundai ix35,324 765 km,2013,Automatique,Diesel,11 cv,55 000 DT
Peugeot 308 Active,36 765 km,2021,Manuelle,Essence,5 cv,53 000 DT
Mercedes-Benz Classe E AMG,100 756 km,2021,Automatique,Hybride,11 cv,240 000 DT
Nissan Juke Tekna,224 654 km,2014,Manuelle,Diesel,5 cv,51 000 DT
Mercedes-Benz GLC Coupé AMG,47 000 km,2021,Automatique,Hybride,12 cv,260 000 DT
KIA Rio 5p SX,68 954 km,2019,Manuelle,Essence,5 cv,54 000 DT
Volkswagen Golf 7 Highline,26 043 km,2016,Manuelle,Essence,7 cv,75 000 DT
Volkswagen Golf 8 Life,70 001 km,2020,Manuelle,Essence,6 cv,87 000 DT
Toyota Land Cruiser,142 060 km,2010,Automatique,Diesel,11 cv,175 000 DT
Volkswagen Golf 7 Confortline,169 452 km,2019,Automatique,Essence,6 cv,69 000 DT
Mercedes-Benz Classe E AMG,55 001 km,2019,Automatique,Essence,9 cv,165 000 DT
Mercedes-Benz Classe C AMG +,0 km,2024,Automatique,Essence,9 cv,275 000 DT
Mercedes-Benz GLA,10 730 km,2023,Automatique,Hybride,8 cv,230 000 DT
Mercedes-Benz Classe E AMG,10 776 km,2023,Automatique,Essence,11 cv,390 000 DT
BMW X3 Luxury Line,186 000 km,2006,Automatique,Diesel,13 cv,65 000 DT
Mercedes-Benz Classe C AMG,50 893 km,2022,Automatique,Essence,9 cv,185 000 DT
KIA Picanto Populaire,3 805 km,2021,Manuelle,Essence,4 cv,43 000 DT
Haval H6,12 442 km,2023,Automatique,Essence,8 cv,126 000 DT
Nissan Juke Tekna,163 166 km,2014,Automatique,Essence,7 cv,51 000 DT
Mitsubishi Pajero LIMITED EDITION,20 742 km,2023,Manuelle,Diesel,11 cv,160 000 DT
Mercedes-Benz CLA AMG Edition 1,31 235 km,2021,Automatique,Hybride,8 cv,169 900 DT
Mini 5 portes,18 000 km,2021,Automatique,Essence,7 cv,120 000 DT
BMW Série 3 coupé,156 000 km,2010,Automatique,Essence,9 cv,62 000 DT
Peugeot 308,48 000 km,2023,Automatique,Diesel,7 cv,126 000 DT
Peugeot Expert,139 199 km,2019,Manuelle,Diesel,6 cv,59 000 DT
Volkswagen Golf 8 R-Line,36 651 km,2022,Automatique,Hybride,8 cv,138 000 DT
Mini Cabrio,86 111 km,2010,Manuelle,Essence,7 cv,43 000 DT
KIA Picanto 1 ère main,0 km,2024,Automatique,Essence,5 cv,61 000 DT
Porsche Cayman S,39 508 km,2008,Manuelle,Essence,21 cv,275 000 DT
Seat Ibiza,99 519 km,2021,Manuelle,Essence,4 cv,54 000 DT
Toyota Land Cruiser,316 620 km,2003,Automatique,Diesel,12 cv,119 000 DT
Mercedes-Benz GLC Coupé AMG,82 415 km,2020,Automatique,Hybride,10 cv,230 000 DT
Mercedes-Benz Classe C AMG,249 000 km,2011,Automatique,Essence,9 cv,65 000 DT
Mercedes-Benz Classe C,30 570 km,2021,Automatique,Essence,8 cv,178 000 DT
Mercedes-Benz CLA AMG,1 000 km,2024,Automatique,Hybride,8 cv,225 000 DT
Volkswagen Golf 8,85 181 km,2020,Manuelle,Essence,5 cv,81 000 DT
Volkswagen Golf 7 Join,86 000 km,2018,Manuelle,Essence,6 cv,79 000 DT
Volkswagen T-roc,74 107 km,2019,Manuelle,Essence,6 cv,75 000 DT
Renault Symbol,115 000 km,2020,Manuelle,Essence,5 cv,36 000 DT
Mercedes-Benz CLA AMG,18 500 km,2023,Automatique,Hybride,8 cv,185 000 DT
Mercedes-Benz Classe A AMG,68 000 km,2018,Automatique,Essence,8 cv,135 000 DT
BMW Série 3 Luxury,112 000 km,2013,Automatique,Essence,7 cv,65 000 DT
Audi Q5 S-line,176 000 km,2015,Automatique,Diesel,10 cv,110 000 DT
Mercedes-Benz Classe C AMG,145 000 km,2019,Automatique,Diesel,6 cv,145 000 DT
Peugeot 2008,125 000 km,2018,Automatique,Essence,6 cv,55 000 DT
Mercedes-Benz Classe A AMG,141 000 km,2019,Automatique,Diesel,7 cv,119 000 DT
Mercedes-Benz GLC,130 000 km,2018,Automatique,Hybride,10 cv,195 000 DT
Peugeot 5008,160 000 km,2019,Manuelle,Essence,7 cv,76 000 DT
Mercedes-Benz Classe E,158 000 km,2020,Automatique,Diesel,8 cv,166 000 DT
Mercedes-Benz Classe C AMG,157 000 km,2007,Automatique,Essence,15 cv,57 000 DT
Haval H6,90 000 km,2019,Automatique,Essence,9 cv,76 500 DT
Fiat Doblo 2 places,190 000 km,2017,Manuelle,Diesel,5 cv,25 500 DT
Renault Kangoo,240 000 km,2012,Manuelle,Diesel,5 cv,24 500 DT
Audi A4,210 000 km,2017,Automatique,Essence,8 cv,68 000 DT
Volkswagen Polo,141 000 km,2017,Manuelle,Essence,4 cv,38 000 DT
KIA Cerato 5p,180 000 km,2014,Automatique,Essence,8 cv,40 000 DT
Wallyscar 719,89 042 km,2023,Manuelle,Essence,7 cv,Sous leasing                    45 600 DT
Peugeot 4008,100 000 km,2014,Manuelle,Essence,9 cv,47 000 DT
Mercedes-Benz Classe E AMG,75 000 km,2022,Automatique,Diesel,9 cv,220 000 DT
Mazda 6,256 000 km,2013,Automatique,Essence,9 cv,33 000 DT
Peugeot Partner,95 000 km,2021,Manuelle,Diesel,5 cv,44 900 DT
Geely GC6,54 000 km,2019,Manuelle,Essence,6 cv,31 000 DT
Fiat 500,127 000 km,2015,Manuelle,Essence,4 cv,35 900 DT
BMW Série 3,190 000 km,2013,Automatique,Essence,7 cv,60 000 DT
Ssangyong Tivoli,56 000 km,2021,Manuelle,Essence,6 cv,65 000 DT
BMW Série 3,170 000 km,2014,Automatique,Essence,7 cv,78 000 DT
Volkswagen Golf 8,134 000 km,2019,Manuelle,Essence,8 cv,85 000 DT
Seat Arona,88 000 km,2018,Manuelle,Essence,6 cv,58 000 DT
Hyundai Grand i10 High Grade,3 000 km,2024,Automatique,Essence,5 cv,64 000 DT
Volkswagen Golf 7,104 000 km,2019,Automatique,Essence,6 cv,63 000 DT
Peugeot Landtrek Simple Cabine,86 000 km,2022,Manuelle,Diesel,6 cv,60 000 DT
Renault Express,34 000 km,2023,Manuelle,Diesel,5 cv,49 000 DT
Citroën C3,77 000 km,2020,Manuelle,Essence,4 cv,35 000 DT
Volkswagen Golf 7,70 000 km,2020,Manuelle,Essence,6 cv,76 000 DT
Seat Arona FR,18 000 km,2022,Automatique,Essence,6 cv,92 000 DT
Hyundai Grand i10,56 000 km,2022,Automatique,Essence,4 cv,47 500 DT
Skoda Fabia,79 000 km,2022,Manuelle,Essence,4 cv,49 900 DT
Chery QQ,43 000 km,2020,Manuelle,Essence,4 cv,23 900 DT
Mazda BT-50 Double cabine MID,334 000 km,2016,Manuelle,Diesel,9 cv,53 000 DT
Mitsubishi Lancer,208 000 km,2002,Automatique,Essence,7 cv,26 900 DT
KIA Cerato,189 000 km,2015,Manuelle,Essence,7 cv,42 000 DT
Renault Symbol Elegance,139 000 km,2021,Manuelle,Essence,5 cv,39 000 DT
Mercedes-Benz CLA,316 000 km,2015,Manuelle,Essence,8 cv,59 900 DT
KIA Rio 5p,112 000 km,2022,Manuelle,Essence,5 cv,49 500 DT
Citroën Berlingo Utilitaire,78 000 km,2020,Manuelle,Diesel,5 cv,74 000 DT
DFSK Glory 580,68 000 km,2022,Manuelle,Essence,8 cv,85 000 DT
Mercedes-Benz Classe C,190 000 km,2011,Automatique,Essence,11 cv,53 000 DT
Toyota Corolla,150 000 km,2004,Manuelle,Essence,7 cv,26 000 DT
Volkswagen Polo,68 000 km,2020,Manuelle,Essence,5 cv,52 000 DT
Dacia Dokker Van,116 000 km,2019,Manuelle,Diesel,6 cv,32 000 DT
Haval H6,39 000 km,2023,Automatique,Essence,8 cv,115 000 DT
Renault Clio,65 000 km,2022,Manuelle,Essence,5 cv,48 000 DT
Wallyscar Wolf,8 000 km,2024,Automatique,Essence,9 cv,109 000 DT
Hyundai Grand i10 High Grade,62 000 km,2021,Automatique,Essence,5 cv,50 500 DT
Haval H6 Luxury,130 000 km,2021,Automatique,Essence,9 cv,85 000 DT
KIA Picanto,100 000 km,2013,Automatique,Essence,5 cv,32 500 DT
Fiat Fiorino,77 000 km,2021,Manuelle,Diesel,6 cv,35 000 DT
Chery Tiggo 7 Pro,123 000 km,2019,Automatique,Essence,9 cv,64 000 DT
KIA Sorento,273 000 km,2013,Automatique,Diesel,12 cv,52 500 DT
Citroën C4,154 000 km,2016,Manuelle,Essence,6 cv,36 000 DT
Fiat 500,199 000 km,2012,Automatique,Essence,4 cv,29 900 DT
Citroën C4,218 000 km,2015,Manuelle,Essence,6 cv,34 000 DT
Suzuki Jimny 3 portes,75 000 km,2020,Manuelle,Essence,6 cv,79 000 DT
Seat Ibiza Style,169 000 km,2021,Manuelle,Essence,4 cv,47 500 DT
Chevrolet Sonic,163 000 km,2019,Manuelle,Essence,5 cv,36 000 DT
Honda City,49 000 km,2021,Automatique,Essence,6 cv,63 500 DT
Mazda 3,94 000 km,2015,Manuelle,Essence,6 cv,48 500 DT
KIA Sportage GT-Line,79 000 km,2020,Automatique,Diesel,7 cv,120 000 DT
BMW Série 1 F20,120 000 km,2012,Automatique,Essence,7 cv,53 000 DT
Fiat 500,93 000 km,2021,Manuelle,Essence,4 cv,48 000 DT
BYD Tang Supreme,53 000 km,2023,Automatique,Essence,11 cv,135 000 DT
Nissan Juke,55 000 km,2021,Automatique,Essence,6 cv,85 000 DT
BMW Série 3 E90 restylé N45,127 000 km,2012,Automatique,Essence,7 cv,51 500 DT
Renault Kwid Populaire,45 000 km,2022,Manuelle,Essence,4 cv,36 500 DT
Suzuki Celerio,45 000 km,2022,Manuelle,Essence,4 cv,38 900 DT
Mazda CX-9,70 000 km,2017,Automatique,Essence,15 cv,119 000 DT
Nissan Micra,120 000 km,2017,Manuelle,Essence,5 cv,29 500 DT
Fiat Doblo,30 000 km,2021,Manuelle,Diesel,5 cv,43 000 DT
Fiat Ducato,211 000 km,2012,Manuelle,Diesel,8 cv,45 000 DT
Volkswagen Golf 8,5 000 km,2021,Manuelle,Essence,6 cv,85 000 DT
Nissan Qashqai,279 000 km,2010,Manuelle,Diesel,6 cv,40 000 DT
Mazda CX-9 Signature,155 000 km,2019,Automatique,Essence,15 cv,104 000 DT
Ford Fiesta Titanium,223 000 km,2013,Manuelle,Essence,5 cv,29 500 DT
Mercedes-Benz CLA AMG,100 000 km,2020,Automatique,Essence,7 cv,144 900 DT
MG HS Trophy,111 000 km,2022,Automatique,Essence,9 cv,90 000 DT
Mahindra KUV 100 K6+,59 000 km,2022,Manuelle,Essence,5 cv,32 500 DT
Hyundai H-1,999 999 km,2006,Manuelle,Essence,10 cv,18 000 DT
Porsche Panamera,11 000 km,2019,Automatique,Essence,22 cv,450 000 DT
Hyundai i20 High Grade,21 000 km,2023,Automatique,Essence,5 cv,79 000 DT
Skoda Rapid,46 000 km,2019,Manuelle,Essence,5 cv,55 000 DT
Fiat Panda City Cross,70 000 km,2020,Manuelle,Essence,4 cv,41 000 DT
Great Wall M4,100 000 km,2018,Manuelle,Essence,7 cv,38 900 DT
Hyundai Grand i10,82 000 km,2022,Manuelle,Essence,4 cv,42 000 DT
Mercedes-Benz Classe C,172 000 km,2018,Automatique,Essence,8 cv,105 000 DT
KIA Optima,206 000 km,2012,Automatique,Essence,10 cv,40 000 DT
KIA Rio Berline,87 000 km,2017,Manuelle,Essence,5 cv,44 500 DT
BMW Série 5 Luxury,58 000 km,2022,Automatique,Hybride,10 cv,236 500 DT
Citroën C4,195 000 km,2014,Manuelle,Essence,6 cv,28 500 DT
Hyundai Tucson Hybride,109 000 km,2021,Automatique,Hybride,7 cv,120 000 DT
KIA Picanto,111 000 km,2019,Automatique,Essence,5 cv,40 900 DT
Nissan Juke,125 000 km,2015,Automatique,Essence,7 cv,46 000 DT
Fiat Siena,300 000 km,2004,Manuelle,Essence,5 cv,17 900 DT
Seat Leon SC,70 000 km,2016,Manuelle,Essence,6 cv,49 500 DT
Jeep Grand Cherokee,132 000 km,2016,Automatique,Essence,20 cv,180 000 DT
MG ZS Luxe,96 000 km,2020,Automatique,Essence,7 cv,65 000 DT
Audi Q2,78 000 km,2018,Automatique,Essence,7 cv,99 500 DT
Volkswagen Polo,144 000 km,2006,Manuelle,Essence,4 cv,20 900 DT
Citroën C3,192 000 km,2011,Manuelle,Essence,5 cv,27 500 DT
Volkswagen Polo,112 000 km,2021,Manuelle,Essence,4 cv,44 900 DT
Peugeot 301,195 000 km,2018,Manuelle,Essence,5 cv,25 500 DT
Peugeot 208,11 000 km,2020,Manuelle,Essence,4 cv,39 000 DT
Hyundai H-1,224 000 km,2002,Manuelle,Diesel,8 cv,23 000 DT
Peugeot 208,37 000 km,2022,Manuelle,Essence,4 cv,43 500 DT
Mercedes-Benz ML,240 000 km,2009,Automatique,Diesel,15 cv,80 000 DT
KIA Sportage,143 000 km,2016,Automatique,Diesel,10 cv,100 000 DT
Chery Tiggo 3X,74 000 km,2022,Automatique,Essence,6 cv,54 500 DT
BMW Série 3 F30 Pack Modern,139 000 km,2012,Automatique,Essence,10 cv,61 500 DT
Chevrolet Groove Premier,6 500 km,2024,Automatique,Essence,6 cv,76 500 DT
Seat Ibiza,1 300 km,2024,Automatique,Essence,6 cv,77 500 DT
MG 5,26 000 km,2022,Automatique,Essence,7 cv,70 000 DT
Seat Ibiza,124 000 km,2018,Manuelle,Essence,4 cv,42 500 DT
Land Rover Range Rover Sport,184 000 km,2008,Automatique,Diesel,13 cv,79 000 DT
Citroën C3,115 000 km,2011,Manuelle,Essence,5 cv,27 500 DT
MG 3,12 000 km,2024,Manuelle,Essence,6 cv,53 000 DT
Hyundai Autre H350 Solati,26 000 km,2021,Manuelle,Diesel,8 cv,72 000 DT
Volkswagen Caddy,38 000 km,2022,Manuelle,Diesel,7 cv,68 000 DT
Mercedes-Benz ML,283 000 km,2006,Automatique,Diesel,15 cv,38 000 DT
Toyota Prado,330 000 km,2002,Manuelle,Diesel,11 cv,50 000 DT
Peugeot 207,290 000 km,2011,Manuelle,Diesel,6 cv,27 500 DT
Seat Leon,159 000 km,2020,Manuelle,Essence,6 cv,64 500 DT
Mercedes-Benz Classe A,174 000 km,2014,Manuelle,Essence,6 cv,56 000 DT
Citroën C4 Cactus,146 000 km,2019,Manuelle,Diesel,5 cv,58 000 DT
Suzuki Swift,139 000 km,2018,Automatique,Essence,5 cv,37 000 DT
Land Rover Range Rover Sport,200 000 km,2009,Automatique,Diesel,13 cv,81 000 DT
Chery Tiggo 2 Confort,135 000 km,2020,Manuelle,Essence,6 cv,41 000 DT
Geely GC6,77 000 km,2021,Manuelle,Essence,6 cv,35 000 DT
Volkswagen Golf 6,262 000 km,2010,Manuelle,Essence,7 cv,34 000 DT
Fiat Strada,228 000 km,2001,Manuelle,Diesel,7 cv,24 000 DT
Toyota Hilux Double Cabine,214 000 km,2018,Manuelle,Diesel,8 cv,119 000 DT
Nissan Qashqai,141 000 km,2017,Automatique,Essence,6 cv,74 900 DT
Ford Ranger,70 000 km,2020,Automatique,Diesel,7 cv,145 000 DT
Volkswagen Passat,212 000 km,2007,Manuelle,Essence,7 cv,28 000 DT
Hyundai Grand i10,97 000 km,2020,Automatique,Essence,4 cv,41 500 DT
KIA Sportage,150 000 km,2018,Automatique,Essence,8 cv,76 000 DT
BMW Série 3 coupé,232 000 km,2009,Manuelle,Essence,7 cv,39 900 DT
Volkswagen Polo 7,316 000 km,2011,Manuelle,Diesel,4 cv,31 900 DT
Volkswagen Golf Plus Sportsvan Join,72 000 km,2018,Manuelle,Essence,6 cv,79 000 DT
Land Rover Defender 110 LXV,115 000 km,2014,Manuelle,Diesel,8 cv,200 000 DT
Ford Focus Ecoboost,227 000 km,2016,Manuelle,Essence,6 cv,36 000 DT
Mercedes-Benz Classe E,252 000 km,2017,Automatique,Essence,9 cv,110 000 DT
BMW Série 7 X-Drive,200 000 km,2012,Automatique,Diesel,20 cv,155 500 DT
Renault Clio Life Plus,149 000 km,2021,Manuelle,Essence,5 cv,43 900 DT
Mercedes-Benz ML,237 000 km,2006,Automatique,Diesel,15 cv,56 000 DT
Volkswagen Golf 7 Cup,139 000 km,2015,Automatique,Essence,7 cv,59 900 DT
Mahindra KUV 100 K8,79 000 km,2022,Manuelle,Essence,5 cv,36 000 DT
Mazda CX-7,165 000 km,2009,Automatique,Essence,18 cv,45 000 DT
Mazda CX-9,169 000 km,2019,Automatique,Essence,15 cv,89 000 DT
Seat Leon,96 000 km,2014,Automatique,Essence,6 cv,53 000 DT
KIA Picanto,91 000 km,2021,Automatique,Essence,5 cv,42 500 DT
Volkswagen Golf 7,175 000 km,2014,Manuelle,Essence,5 cv,47 000 DT
BMW Série 3,241 000 km,2008,Manuelle,Essence,7 cv,41 000 DT
Renault Clio,47 000 km,2020,Manuelle,Essence,4 cv,39 900 DT
Mercedes-Benz Classe C,146 000 km,2017,Automatique,Essence,8 cv,119 000 DT
Skoda Octavia,174 000 km,2016,Automatique,Essence,8 cv,51 000 DT
Nissan Juke Tekna,5 000 km,2024,Automatique,Essence,6 cv,95 000 DT
Mercedes-Benz Classe E,37 000 km,2021,Automatique,Hybride,10 cv,260 000 DT
Skoda Scala,94 000 km,2021,Automatique,Essence,6 cv,64 000 DT
Audi A6,117 000 km,2015,Automatique,Essence,10 cv,99 500 DT
Seat Ibiza,87 000 km,2020,Manuelle,Essence,6 cv,63 500 DT
Ssangyong Tivoli,83 000 km,2018,Manuelle,Essence,7 cv,50 000 DT
Mini Countryman,179 000 km,2010,Manuelle,Essence,6 cv,41 000 DT
Audi A4,141 000 km,2017,Automatique,Essence,8 cv,85 000 DT
Porsche Panamera,192 000 km,2009,Automatique,Essence,30 cv,165 000 DT
Mercedes-Benz Classe S,112 000 km,2007,Automatique,Essence,19 cv,78 000 DT
BMW Série 5,135 000 km,2018,Automatique,Essence,10 cv,134 000 DT
Dongfeng AX4,33 000 km,2022,Manuelle,Essence,7 cv,59 500 DT
Chevrolet Sonic LS,89 000 km,2021,Manuelle,Essence,5 cv,41 000 DT
Peugeot 3008,131 000 km,2017,Manuelle,Essence,7 cv,62 000 DT
Foton Forland Aumark C6514,35 000 km,2016,Manuelle,Diesel,10 cv,55 000 DT
Chery Tiggo 7 Pro,60 000 km,2021,Automatique,Essence,9 cv,75 000 DT
Citroën C4 Cactus,142 000 km,2015,Manuelle,Essence,5 cv,37 500 DT
Nissan Qashqai Tekna,95 000 km,2016,Manuelle,Essence,6 cv,63 500 DT
BMW X5,283 000 km,2007,Automatique,Diesel,15 cv,68 500 DT
Citroën C4 Picasso,270 000 km,2011,Automatique,Diesel,6 cv,39 900 DT
Citroën C3,156 000 km,2020,Manuelle,Essence,4 cv,36 000 DT
Mercedes-Benz Classe E,189 000 km,2009,Automatique,Diesel,11 cv,63 900 DT
Audi Q3 Sportback,122 000 km,2021,Automatique,Essence,9 cv,152 000 DT
Haval Jolion,24 000 km,2023,Automatique,Essence,9 cv,93 500 DT
Peugeot 301,93 000 km,2014,Manuelle,Essence,5 cv,26 000 DT
Volkswagen Jetta,171 000 km,2018,Manuelle,Essence,7 cv,56 900 DT
Mercedes-Benz CLA,191 000 km,2013,Automatique,Essence,8 cv,77 500 DT
Isuzu D-Max Double Cabine,244 000 km,2013,Manuelle,Diesel,8 cv,115 000 DT
Volkswagen Golf 7,54 000 km,2015,Manuelle,Essence,5 cv,58 000 DT
Hyundai Grand i10,43 000 km,2021,Manuelle,Essence,4 cv,41 900 DT
Renault Clio 4,90 000 km,2020,Manuelle,Essence,5 cv,44 000 DT
